rank,draft_year,draft_team,non_qb_war,players_with_war_rows,player_season_rows,seasons_possible,non_qb_war_per_possible_season,non_qb_war_per_player
1,2022,DET,9.258,7,21,4,2.314,1.323
2,2023,LA,8.694,7,17,3,2.898,1.242
3,2022,BUF,7.052,6,21,4,1.763,1.175
4,2022,KC,6.581,8,28,4,1.645,0.823
5,2023,DET,6.405,5,13,3,2.135,1.281
6,2022,GB,4.932,6,23,4,1.233,0.822
7,2023,SEA,4.816,7,17,3,1.605,0.688
8,2023,HOU,4.673,5,12,3,1.558,0.935
9,2024,LA,4.155,6,11,2,2.077,0.692
10,2022,SEA,3.684,5,17,4,0.921,0.737
11,2022,PIT,3.663,4,13,4,0.916,0.916
12,2023,GB,3.619,8,19,3,1.206,0.452
13,2022,DAL,3.498,6,19,4,0.875,0.583
14,2022,ATL,3.498,5,18,4,0.875,0.7
15,2022,HOU,3.325,6,18,4,0.831,0.554
16,2022,BAL,3.317,6,18,4,0.829,0.553
17,2022,IND,3.248,4,16,4,0.812,0.812
18,2023,PIT,3.222,4,10,3,1.074,0.806
19,2022,ARI,3.221,5,13,4,0.805,0.644
20,2022,LA,3.075,6,19,4,0.769,0.512
21,2023,BAL,3.034,4,11,3,1.011,0.758
22,2023,CHI,3.004,9,18,3,1.001,0.334
23,2022,NE,2.89,5,14,4,0.723,0.578
24,2023,PHI,2.873,5,15,3,0.958,0.575
25,2022,NYG,2.865,6,22,4,0.716,0.478
26,2024,PHI,2.776,5,9,2,1.388,0.555
27,2023,JAX,2.679,8,19,3,0.893,0.335
28,2023,LAC,2.673,4,11,3,0.891,0.668
29,2023,CIN,2.654,6,16,3,0.885,0.442
30,2022,NO,2.604,4,13,4,0.651,0.651
31,2024,HOU,2.584,5,7,2,1.292,0.517
32,2024,LAC,2.501,6,10,2,1.251,0.417
33,2022,DEN,2.331,6,13,4,0.583,0.389
34,2023,MIA,2.266,2,5,3,0.755,1.133
35,2022,JAX,2.244,5,17,4,0.561,0.449
36,2023,ARI,2.139,6,17,3,0.713,0.357
37,2022,TB,2.081,4,16,4,0.52,0.52
38,2024,BUF,2.081,6,10,2,1.041,0.347
39,2024,JAX,2.08,6,9,2,1.04,0.347
40,2023,TB,2.076,5,12,3,0.692,0.415
41,2022,CHI,1.94,4,16,4,0.485,0.485
42,2023,ATL,1.904,4,9,3,0.635,0.476
43,2022,NYJ,1.869,5,21,4,0.467,0.374
44,2023,MIN,1.861,4,9,3,0.62,0.465
45,2024,SEA,1.829,4,7,2,0.915,0.457
46,2025,CHI,1.819,5,5,1,1.819,0.364
47,2024,TB,1.816,4,7,2,0.908,0.454
48,2022,PHI,1.807,2,8,4,0.452,0.903
49,2023,NO,1.796,4,11,3,0.599,0.449
50,2023,NE,1.791,7,17,3,0.597,0.256
51,2024,NYG,1.731,6,10,2,0.865,0.288
52,2024,GB,1.712,5,10,2,0.856,0.342
53,2023,IND,1.687,7,14,3,0.562,0.241
54,2023,KC,1.663,5,12,3,0.554,0.333
55,2024,ARI,1.609,8,12,2,0.804,0.201
56,2024,SF,1.546,5,9,2,0.773,0.309
57,2023,WAS,1.432,5,14,3,0.477,0.286
58,2025,ATL,1.368,4,4,1,1.368,0.342
59,2022,MIN,1.337,7,16,4,0.334,0.191
60,2023,BUF,1.281,3,9,3,0.427,0.427
61,2022,TEN,1.243,5,15,4,0.311,0.249
62,2022,CIN,1.222,5,15,4,0.305,0.244
63,2024,WAS,1.137,4,7,2,0.568,0.284
64,2024,TEN,1.131,5,11,2,0.565,0.226
65,2024,DEN,1.009,5,9,2,0.504,0.202
66,2024,MIN,0.954,2,4,2,0.477,0.477
67,2024,BAL,0.892,5,7,2,0.446,0.178
68,2023,SF,0.846,5,11,3,0.282,0.169
69,2025,CAR,0.823,5,5,1,0.823,0.165
70,2025,NE,0.821,3,3,1,0.821,0.274
71,2024,KC,0.82,4,6,2,0.41,0.205
72,2023,TEN,0.792,1,3,3,0.264,0.792
73,2025,LAC,0.782,6,6,1,0.782,0.13
74,2023,NYJ,0.774,3,6,3,0.258,0.258
75,2022,WAS,0.753,5,15,4,0.188,0.151
76,2023,LV,0.712,8,15,3,0.237,0.089
77,2022,CLE,0.698,5,15,4,0.174,0.14
78,2024,CHI,0.692,2,4,2,0.346,0.346
79,2022,SF,0.679,4,11,4,0.17,0.17
80,2024,DAL,0.671,4,7,2,0.336,0.168
81,2023,DEN,0.636,3,7,3,0.212,0.212
82,2025,PIT,0.598,3,3,1,0.598,0.199
83,2024,LV,0.589,3,6,2,0.295,0.196
84,2024,NYJ,0.588,3,4,2,0.294,0.196
85,2025,TB,0.577,5,5,1,0.577,0.115
86,2025,NYG,0.556,4,4,1,0.556,0.139
87,2024,CLE,0.513,4,7,2,0.256,0.128
88,2023,CLE,0.473,3,8,3,0.158,0.158
89,2024,PIT,0.444,2,3,2,0.222,0.222
90,2025,BUF,0.394,5,5,1,0.394,0.079
91,2024,NO,0.375,3,5,2,0.188,0.125
92,2024,ATL,0.373,4,8,2,0.187,0.093
93,2025,NO,0.373,4,4,1,0.373,0.093
94,2025,SF,0.366,6,6,1,0.366,0.061
95,2023,DAL,0.332,2,5,3,0.111,0.166
96,2025,PHI,0.329,3,3,1,0.329,0.11
97,2025,GB,0.324,5,5,1,0.324,0.065
98,2025,SEA,0.304,2,2,1,0.304,0.152
99,2022,LAC,0.295,4,11,4,0.074,0.074
100,2025,DEN,0.288,4,4,1,0.288,0.072
101,2025,KC,0.26,5,5,1,0.26,0.052
102,2024,CIN,0.242,5,9,2,0.121,0.048
103,2025,ARI,0.175,6,6,1,0.175,0.029
104,2025,LA,0.172,2,2,1,0.172,0.086
105,2025,JAX,0.164,4,4,1,0.164,0.041
106,2025,NYJ,0.152,5,5,1,0.152,0.03
107,2025,WAS,0.12,2,2,1,0.12,0.06
108,2022,CAR,0.115,2,4,4,0.029,0.058
109,2025,DAL,0.09,3,3,1,0.09,0.03
110,2025,IND,0.073,2,2,1,0.073,0.036
111,2025,CLE,0.063,5,5,1,0.063,0.013
112,2023,NYG,0.051,3,8,3,0.017,0.017
113,2025,MIN,0.023,2,2,1,0.023,0.012
114,2024,DET,0.023,3,5,2,0.011,0.008
115,2025,BAL,0.018,4,4,1,0.018,0.005
116,2024,NE,0.018,1,1,2,0.009,0.018
117,2025,MIA,-0.008,6,6,1,-0.008,-0.001
118,2025,HOU,-0.014,4,4,1,-0.014,-0.003
119,2025,DET,-0.019,1,1,1,-0.019,-0.019
120,2022,MIA,-0.042,2,5,4,-0.011,-0.021
121,2024,IND,-0.064,4,7,2,-0.032,-0.016
122,2025,CIN,-0.092,3,3,1,-0.092,-0.031
123,2024,MIA,-0.148,4,6,2,-0.074,-0.037
124,2024,CAR,-0.194,4,8,2,-0.097,-0.048
125,2022,LV,-0.342,3,8,4,-0.086,-0.114
126,2025,TEN,-0.576,6,6,1,-0.576,-0.096
127,2023,CAR,-0.784,3,5,3,-0.261,-0.261
128,2025,LV,-1.243,4,4,1,-1.243,-0.311
