opportunity_adjusted_rank,draft_year,draft_team,non_qb_war,non_qb_fs_points,seasons_possible,non_qb_war_per_1000_fs,non_qb_draft_efficiency_index,non_qb_war_per_1000_fs_seasons,opportunity_adjusted_efficiency_index,total_non_qb_picks,players_with_war_rows
1,2023,LA,8.694,5943,3,1.463,479.05,0.488,401.348,13,7
2,2022,BUF,7.052,4761,4,1.481,485.044,0.37,304.778,8,6
3,2024,LA,4.155,5899,2,0.704,230.653,0.352,289.862,10,6
4,2023,MIA,2.266,2312,3,0.98,320.951,0.327,268.893,4,2
5,2022,PIT,3.663,2806,4,1.305,427.481,0.326,268.608,5,4
6,2022,DET,9.258,7358,4,1.258,412.026,0.315,258.897,8,7
7,2023,DET,6.405,6970,3,0.919,300.922,0.306,252.112,7,5
8,2025,ATL,1.368,4517,1,0.303,99.175,0.303,249.267,5,4
9,2025,CHI,1.819,6337,1,0.287,93.997,0.287,236.253,8,5
10,2022,LA,3.075,2733,4,1.125,368.445,0.281,231.512,8,6
11,2024,HOU,2.584,4680,2,0.552,180.806,0.276,227.219,9,5
12,2023,BAL,3.034,3736,3,0.812,265.935,0.271,222.801,6,4
13,2023,HOU,4.673,6055,3,0.772,252.725,0.257,211.733,8,5
14,2022,KC,6.581,6864,4,0.959,313.965,0.24,197.28,10,8
15,2024,PHI,2.776,5792,2,0.479,156.949,0.24,197.238,9,5
16,2022,ARI,3.221,3554,4,0.906,296.784,0.227,186.484,8,5
17,2023,LAC,2.673,4494,3,0.595,194.775,0.198,163.182,6,4
18,2023,PIT,3.222,5584,3,0.577,188.95,0.192,158.303,7,4
19,2024,TB,1.816,4764,2,0.381,124.828,0.191,156.871,7,4
20,2023,CIN,2.654,4660,3,0.57,186.501,0.19,156.251,8,6
21,2023,SEA,4.816,8475,3,0.568,186.086,0.189,155.903,10,7
22,2024,BUF,2.081,5547,2,0.375,122.852,0.188,154.388,10,6
23,2024,LAC,2.501,6713,2,0.373,122.001,0.186,153.319,9,6
24,2023,MIN,1.861,3339,3,0.557,182.514,0.186,152.911,5,4
25,2024,JAX,2.08,5700,2,0.365,119.497,0.182,150.171,9,6
26,2024,SEA,1.829,5035,2,0.363,118.955,0.182,149.49,8,4
27,2024,DEN,1.009,2833,2,0.356,116.63,0.178,146.569,6,5
28,2022,GB,4.932,6934,4,0.711,232.92,0.178,146.355,11,6
29,2022,IND,3.248,4568,4,0.711,232.84,0.178,146.305,8,4
30,2023,GB,3.619,7188,3,0.503,164.872,0.168,138.13,12,8
31,2023,PHI,2.873,5771,3,0.498,163.024,0.166,136.582,6,5
32,2025,PIT,0.598,3694,1,0.162,53.012,0.162,133.24,6,3
33,2024,NYG,1.731,5389,2,0.321,105.186,0.161,132.187,6,6
34,2022,DAL,3.498,5554,4,0.63,206.244,0.157,129.593,9,6
35,2024,SF,1.546,4981,2,0.31,101.639,0.155,127.73,8,5
36,2022,ATL,3.498,5893,4,0.594,194.38,0.148,122.138,7,5
37,2025,LAC,0.782,5334,1,0.147,48.009,0.147,120.665,9,6
38,2024,MIN,0.954,3359,2,0.284,93.005,0.142,116.879,6,2
39,2023,CHI,3.004,7127,3,0.421,138.026,0.14,115.638,10,9
40,2022,NE,2.89,5353,4,0.54,176.794,0.135,111.089,9,5
41,2025,CAR,0.823,6127,1,0.134,43.986,0.134,110.556,8,5
42,2023,TB,2.076,5187,3,0.4,131.062,0.133,109.804,8,5
43,2023,JAX,2.679,6705,3,0.4,130.84,0.133,109.618,13,8
44,2022,SEA,3.684,6961,4,0.529,173.307,0.132,108.897,9,5
45,2025,TB,0.577,4492,1,0.128,42.063,0.128,105.722,6,5
46,2022,NO,2.604,5076,4,0.513,167.991,0.128,105.557,5,4
47,2023,NO,1.796,4718,3,0.381,124.657,0.127,104.437,6,4
48,2024,GB,1.712,6761,2,0.253,82.92,0.127,104.206,10,5
49,2023,ATL,1.904,5032,3,0.378,123.906,0.126,103.809,6,4
50,2022,DEN,2.331,4667,4,0.499,163.558,0.125,102.772,9,6
51,2023,KC,1.663,4457,3,0.373,122.185,0.124,102.366,7,5
52,2025,NYG,0.556,4896,1,0.114,37.188,0.114,93.468,6,4
53,2023,ARI,2.139,6360,3,0.336,110.134,0.112,92.27,8,6
54,2024,TEN,1.131,5061,2,0.223,73.18,0.112,91.966,7,5
55,2023,BUF,1.281,3920,3,0.327,107.011,0.109,89.654,6,3
56,2022,PHI,1.807,4154,4,0.435,142.449,0.109,89.508,5,2
57,2025,NE,0.821,7636,1,0.108,35.208,0.108,88.492,11,3
58,2022,TB,2.081,4967,4,0.419,137.197,0.105,86.208,8,4
59,2023,IND,1.687,5645,3,0.299,97.863,0.1,81.99,11,7
60,2024,KC,0.82,4187,2,0.196,64.132,0.098,80.595,7,4
61,2022,BAL,3.317,8494,4,0.391,127.879,0.098,80.353,11,6
62,2024,WAS,1.137,5911,2,0.192,62.989,0.096,79.159,8,4
63,2023,WAS,1.432,4986,3,0.287,94.05,0.096,78.795,7,5
64,2022,HOU,3.325,8927,4,0.372,121.97,0.093,76.64,9,6
65,2024,CHI,0.692,3745,2,0.185,60.509,0.092,76.042,4,2
66,2024,BAL,0.892,4888,2,0.182,59.759,0.091,75.099,8,5
67,2022,CHI,1.94,5406,4,0.359,117.515,0.09,73.84,11,4
68,2024,CLE,0.513,2936,2,0.175,57.217,0.087,71.905,6,4
69,2023,NE,1.791,7206,3,0.249,81.39,0.083,68.188,12,7
70,2024,ARI,1.609,10087,2,0.16,52.235,0.08,65.644,12,8
71,2022,JAX,2.244,7094,4,0.316,103.585,0.079,65.088,7,5
72,2022,CIN,1.222,3994,4,0.306,100.191,0.076,62.955,6,5
73,2023,SF,0.846,3773,3,0.224,73.426,0.075,61.516,9,5
74,2022,NYG,2.865,9839,4,0.291,95.354,0.073,59.916,11,6
75,2023,TEN,0.792,3630,3,0.218,71.447,0.073,59.859,5,1
76,2025,BUF,0.394,5535,1,0.071,23.31,0.071,58.588,9,5
77,2024,NYJ,0.588,4144,2,0.142,46.465,0.071,58.392,6,3
78,2025,NO,0.373,5325,1,0.07,22.938,0.07,57.652,8,4
79,2023,DEN,0.636,3078,3,0.207,67.664,0.069,56.689,5,3
80,2024,DAL,0.671,4931,2,0.136,44.561,0.068,56.0,8,4
81,2025,GB,0.324,4866,1,0.067,21.804,0.067,54.803,8,5
82,2025,PHI,0.329,5000,1,0.066,21.547,0.066,54.157,9,3
83,2025,DEN,0.288,4901,1,0.059,19.243,0.059,48.366,7,4
84,2022,TEN,1.243,5594,4,0.222,72.764,0.056,45.721,8,5
85,2022,NYJ,1.869,8524,4,0.219,71.801,0.055,45.116,7,5
86,2023,NYJ,0.774,4710,3,0.164,53.813,0.055,45.085,7,3
87,2025,SF,0.366,6765,1,0.054,17.717,0.054,44.529,10,6
88,2024,LV,0.589,5459,2,0.108,35.332,0.054,44.402,8,3
89,2025,KC,0.26,4982,1,0.052,17.09,0.052,42.953,7,5
90,2022,MIN,1.337,6501,4,0.206,67.347,0.051,42.318,10,7
91,2025,LA,0.172,3444,1,0.05,16.354,0.05,41.105,6,2
92,2025,SEA,0.304,6090,1,0.05,16.346,0.05,41.085,10,2
93,2024,NO,0.375,4104,2,0.091,29.922,0.046,37.603,6,3
94,2023,CLE,0.473,3487,3,0.136,44.42,0.045,37.215,6,3
95,2024,ATL,0.373,4149,2,0.09,29.44,0.045,36.997,7,4
96,2024,PIT,0.444,5200,2,0.085,27.961,0.043,35.138,7,2
97,2022,SF,0.679,4051,4,0.168,54.888,0.042,34.489,8,4
98,2022,WAS,0.753,4855,4,0.155,50.789,0.039,31.914,7,5
99,2023,LV,0.712,6317,3,0.113,36.909,0.038,30.923,8,8
100,2022,CLE,0.698,4730,4,0.148,48.324,0.037,30.364,9,5
101,2025,WAS,0.12,3266,1,0.037,12.032,0.037,30.241,5,2
102,2025,ARI,0.175,4960,1,0.035,11.554,0.035,29.039,7,6
103,2025,NYJ,0.152,5899,1,0.026,8.438,0.026,21.208,7,5
104,2025,JAX,0.164,6523,1,0.025,8.233,0.025,20.693,9,4
105,2023,DAL,0.332,4821,3,0.069,22.551,0.023,18.893,8,2
106,2024,CIN,0.242,6181,2,0.039,12.821,0.02,16.112,10,5
107,2022,LAC,0.295,4361,4,0.068,22.151,0.017,13.919,8,4
108,2025,DAL,0.09,5558,1,0.016,5.303,0.016,13.328,9,3
