rank,team,non_qb_war,seasons,avg_non_qb_war_per_season,non_qb_player_seasons,unique_non_qb_players
1,PHI,51.383,4,12.846,180,114
2,DET,45.356,4,11.339,191,120
3,SF,42.764,4,10.691,187,118
4,BUF,41.574,4,10.394,195,114
5,BAL,41.25,4,10.313,182,109
6,KC,37.649,4,9.412,175,101
7,LA,32.701,4,8.175,173,107
8,MIA,31.078,4,7.77,179,118
9,GB,30.52,4,7.63,175,101
10,DAL,30.429,4,7.607,187,117
11,DEN,28.523,4,7.131,178,110
12,SEA,25.034,4,6.258,186,125
13,MIN,24.862,4,6.215,175,112
14,TB,23.738,4,5.935,185,106
15,PIT,23.32,4,5.83,172,110
16,ATL,23.32,4,5.83,170,105
17,IND,23.153,4,5.788,175,106
18,CHI,22.833,4,5.708,178,113
19,CIN,22.693,4,5.673,167,95
20,LAC,20.411,4,5.103,186,122
21,HOU,20.005,4,5.001,197,130
22,JAX,19.427,4,4.857,175,102
23,WAS,18.042,4,4.51,190,127
24,ARI,16.471,4,4.118,195,133
25,NE,15.325,4,3.831,185,116
26,NO,14.015,4,3.504,182,115
27,CLE,10.2,4,2.55,189,118
28,CAR,8.288,4,2.072,188,134
29,NYJ,8.094,4,2.023,192,122
30,NYG,7.585,4,1.896,191,123
31,LV,6.851,4,1.713,177,123
32,TEN,6.618,4,1.655,196,144
