season,team,wins,losses,record,made_playoffs,postseason_round_reached,total_war,offensive_war,defensive_war,salary_cap,avg_team_war,league_cap_pct_per_war,league_dollars_per_war,team_cap_pct_per_war,team_dollars_per_war,team_war_value_pct_of_cap,team_war_value_dollars,team_surplus_pct_of_cap,team_surplus_dollars,team_cap_value_multiple,war_efficiency_index
2022,PHI,14,3,14-3,Y,Super Bowl,19.05311998793291,10.638839034804713,8.414280953128197,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",5.2%,"$10,927,344",284.5%,"$592,300,265",184.5%,"$384,100,265",2.84x,284
2022,KC,14,3,14-3,Y,Super Bowl,19.013389605437567,12.990377360187493,6.023012245250075,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",5.3%,"$10,950,178",283.9%,"$591,065,175",183.9%,"$382,865,175",2.84x,284
2022,SF,13,4,13-4,Y,Conference Championship,15.097894545866689,7.635986305720953,7.461908240145735,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",6.6%,"$13,790,002",225.4%,"$469,345,017",125.4%,"$261,145,017",2.25x,225
2022,BUF,13,3,13-3,Y,Divisional,11.096240274309212,5.96700924829569,5.1292310260135245,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",9.0%,"$18,763,112",165.7%,"$344,946,447",65.7%,"$136,746,447",1.66x,166
2022,MIA,9,8,9-8,Y,Wild Card,10.76283513831934,6.274803488109412,4.488031650209929,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",9.3%,"$19,344,345",160.7%,"$334,581,953",60.7%,"$126,381,953",1.61x,161
2022,DET,9,8,9-8,N,Did not qualify,10.755657343845533,7.248513724282375,3.5071436195631565,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",9.3%,"$19,357,255",160.6%,"$334,358,819",60.6%,"$126,158,819",1.61x,161
2022,DAL,12,5,12-5,Y,Divisional,10.369237774431951,3.1659717463706265,7.203266028061325,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",9.6%,"$20,078,621",154.8%,"$322,346,276",54.8%,"$114,146,276",1.55x,155
2022,CIN,12,4,12-4,Y,Conference Championship,9.99771235255289,5.637881697171684,4.359830655381206,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",10.0%,"$20,824,764",149.3%,"$310,796,745",49.3%,"$102,596,745",1.49x,149
2022,JAX,9,8,9-8,Y,Divisional,9.769857870778749,4.855577497679409,4.914280373099338,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",10.2%,"$21,310,443",145.9%,"$303,713,481",45.9%,"$95,513,481",1.46x,146
2022,BAL,10,7,10-7,Y,Wild Card,9.19656401997659,4.25124955750255,4.945314462474039,"$208,200,000",6.6973793849037,14.9%,"$31,086,786",10.9%,"$22,638,890",137.3%,"$285,891,618",37.3%,"$77,691,618",1.37x,137
