rank,draft_year,draft_team,total_war,war_market_value_m,cap_hit_m,surplus_m,seasons_elapsed,surplus_per_season_m
1,2023,LAR,8.69,345.44,15.36,331.28,3,110.43
2,2024,LAR,4.15,165.89,17.46,148.43,2,74.21
3,2023,DET,6.41,247.69,33.62,214.07,3,71.36
4,2022,DET,9.26,349.63,72.35,277.28,4,69.32
5,2025,CHI,1.82,76.97,8.78,67.48,1,67.48
6,2023,HOU,5.92,231.64,47.13,184.66,3,61.55
7,2022,SFO,7.01,254.43,9.06,242.23,4,60.56
8,2022,BUF,7.05,264.28,32.86,230.18,4,57.55
9,2024,WAS,3.5,132.86,11.82,104.53,2,52.26
10,2023,SEA,4.82,194.03,45.93,147.87,3,49.29
11,2024,HOU,2.58,103.89,7.26,96.74,2,48.37
12,2022,KAN,6.58,243.58,51.48,192.1,4,48.02
13,2024,PHI,2.78,112.81,14.12,95.76,2,47.88
14,2025,ATL,1.37,57.9,7.93,42.65,1,42.65
15,2024,LAC,2.5,95.9,11.81,84.09,2,42.04
