rank,draft_year,draft_team,total_war,war_market_value_m,surplus_m,draft_capital_points,war_value_per_1000_fs_points,surplus_per_1000_fs_points,draft_efficiency_index
1,2022,SFO,7.01,254.43,242.23,4241.0,59.99,57.12,792.8
2,2022,BUF,7.05,264.28,230.18,4761.0,55.51,48.35,733.5
3,2023,LAR,8.69,345.44,331.28,6490.0,53.23,51.04,703.4
4,2022,DET,9.26,349.63,277.28,7358.0,47.52,37.68,627.9
5,2022,LAR,3.07,120.74,92.21,2743.0,44.02,33.62,581.7
6,2023,MIA,2.27,86.11,81.74,2312.0,37.24,35.36,492.2
7,2022,KAN,6.58,243.58,192.1,6870.0,35.45,27.96,468.5
8,2022,ARI,3.22,124.9,94.84,3556.0,35.12,26.67,464.1
9,2023,BAL,3.03,120.72,91.28,3736.0,32.31,24.43,427.0
10,2023,DET,6.41,247.69,214.07,7832.0,31.63,27.33,417.9
11,2024,LAR,4.15,165.89,148.43,5899.0,28.12,25.16,371.6
12,2022,IND,3.25,123.41,100.07,4568.0,27.02,21.91,357.0
13,2022,GNB,4.93,186.23,129.33,6938.0,26.84,18.64,354.7
14,2023,HOU,5.92,231.64,184.66,8704.0,26.61,21.22,351.7
15,2023,PIT,3.22,128.08,108.4,5584.0,22.94,19.41,303.1
